 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   1. 2.2026    Time:  18:10:40
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   67     66.00     0.078     0.430       0.0   0.414E+02     2.345     0.000     1.000     1.000     1.000
   68     67.00     0.078     0.430       0.0   0.419E+02     2.372     0.000     1.000     1.000     1.000
   69     68.00     0.078     0.430       0.0   0.431E+02     2.444     0.000     1.000     1.000     1.000
   70     69.00     0.078     0.430       0.0   0.452E+02     2.562     0.000     1.000     1.000     1.000
   71     70.00     0.078     0.430       0.0   0.480E+02     2.718     0.000     1.000     1.000     1.000
   72     71.00     0.078     0.430       0.0   0.512E+02     2.899     0.000     1.000     1.000     1.000
   73     72.00     0.078     0.430       0.0   0.543E+02     3.078     0.000     1.000     1.000     1.000
   74     73.00     0.078     0.430       0.0   0.569E+02     3.223     0.000     1.000     1.000     1.000
   75     74.00     0.078     0.430       0.0   0.582E+02     3.298     0.000     1.000     1.000     1.000
   76     75.00     0.078     0.430       0.0   0.578E+02     3.276     0.000     1.000     1.000     1.000
   77     76.00     0.078     0.430       0.0   0.555E+02     3.146     0.000     1.000     1.000     1.000
   78     77.00     0.078     0.430       0.0   0.516E+02     2.921     0.000     1.000     1.000     1.000
   79     78.00     0.078     0.430       0.0   0.465E+02     2.633     0.000     1.000     1.000     1.000
   80     79.00     0.078     0.430       0.0   0.410E+02     2.320     0.000     1.000     1.000     1.000
   81     80.00     0.078     0.430       0.0   0.356E+02     2.017     0.000     1.000     1.000     1.000
   82     81.00     0.078     0.430       0.0   0.309E+02     1.749     0.000     1.000     1.000     1.000
   83     82.00     0.078     0.430       0.0   0.270E+02     1.528     0.000     1.000     1.000     1.000
   84     83.00     0.078     0.430       0.0   0.239E+02     1.356     0.000     1.000     1.000     1.000
   85     84.00     0.078     0.430       0.0   0.217E+02     1.229     0.000     1.000     1.000     1.000
   86     85.00     0.078     0.430       0.0   0.202E+02     1.142     0.000     1.000     1.000     1.000
   87     86.00     0.078     0.430       0.0   0.192E+02     1.085     0.000     1.000     1.000     1.000
   88     87.00     0.078     0.430       0.0   0.186E+02     1.051     0.000     1.000     1.000     1.000
   89     88.00     0.078     0.430       0.0   0.182E+02     1.032     0.000     1.000     1.000     1.000
   90     89.00     0.078     0.430       0.0   0.180E+02     1.020     0.000     1.000     1.000     1.000
   91     90.00     0.078     0.430       0.0   0.178E+02     1.008     0.000     1.000     1.000     1.000
   92     91.00     0.078     0.430       0.0   0.175E+02     0.991     0.000     1.000     1.000     1.000
   93     92.00     0.078     0.430       0.0   0.170E+02     0.966     0.000     1.000     1.000     1.000
   94     93.00     0.078     0.430       0.0   0.165E+02     0.934     0.000     1.000     1.000     1.000
   95     94.00     0.078     0.430       0.0   0.159E+02     0.898     0.000     1.000     1.000     1.000
   96     95.00     0.078     0.430       0.0   0.152E+02     0.863     0.000     1.000     1.000     1.000
   97     96.00     0.078     0.430       0.0   0.147E+02     0.832     0.000     1.000     1.000     1.000
   98     97.00     0.078     0.430       0.0   0.143E+02     0.812     0.000     1.000     1.000     1.000
   99     98.00     0.078     0.430       0.0   0.142E+02     0.804     0.000     1.000     1.000     1.000
  100     99.00     0.078     0.430       0.0   0.143E+02     0.811     0.000     1.000     1.000     1.000
end
